lon,lat,p_iid,p_bym,p_bym_cov
63.6525,34.4444,0.06497005988023952,0.13532934131736526,0.12724550898203593
62.275,33.5787,0.8955089820359281,0.9383233532934132,0.9392215568862275
57.2457,29.9394,1.0,1.0,1.0
124.2744,41.7788,0.6598802395209581,0.6170658682634731,0.6035928143712574
122.3801,42.3874,0.3323353293413174,0.3326347305389222,0.34281437125748504
120.4328,42.9508,0.4431137724550898,0.4946107784431138,0.4745508982035928
118.4349,43.4664,0.5095808383233533,0.584131736526946,0.5736526946107784
116.3895,43.9319,0.7308383233532935,0.45239520958083834,0.4550898203592814
114.3003,44.3448,0.6763473053892216,0.5104790419161677,0.5083832335329341
112.1715,44.7031,0.824251497005988,0.7116766467065868,0.7074850299401197
110.008,45.0047,0.31137724550898205,0.2874251497005988,0.287125748502994
107.8153,45.2482,0.3964071856287425,0.35149700598802397,0.3532934131736527
105.5993,45.432,0.8640718562874251,0.7910179640718563,0.7859281437125748
103.3665,45.5551,0.9835329341317365,0.9808383233532935,0.9793413173652694
101.1233,45.6169,0.9230538922155689,0.9035928143712575,0.9053892215568863
98.8767,45.6169,0.9377245508982036,0.9655688622754491,0.9604790419161676
96.6335,45.5551,0.9053892215568863,0.7541916167664671,0.7464071856287425
94.4007,45.432,0.320059880239521,0.23323353293413174,0.23023952095808384
92.1847,45.2482,0.38023952095808383,0.3254491017964072,0.32395209580838324
89.992,45.0047,0.7260479041916168,0.5802395209580838,0.5425149700598803
87.8285,44.7031,0.3916167664670659,0.09550898203592814,0.0781437125748503
85.6997,44.3448,0.004790419161676647,0.04401197604790419,0.03682634730538922
83.6105,43.9319,0.0011976047904191617,0.12664670658682634,0.10688622754491017
77.6199,42.3874,0.2682634730538922,0.30389221556886226,0.3092814371257485
75.7256,41.7788,0.831437125748503,0.6721556886227545,0.6763473053892216
68.707,38.9462,0.10149700598802396,0.06407185628742515,0.06077844311377246
65.5392,37.3286,0.9544910179640719,0.9422155688622754,0.9479041916167664
64.0395,36.4786,0.9101796407185628,0.942814371257485,0.9544910179640719
62.5946,35.6045,0.9299401197604791,0.9580838323353293,0.9497005988023952
61.2034,34.7085,0.9790419161676647,0.9721556886227545,0.9727544910179641
59.8645,33.7931,1.0,1.0,1.0
58.5763,32.8602,1.0,1.0,1.0
56.1458,30.9507,1.0,1.0,1.0
55.0,29.9778,1.0,1.0,1.0
53.8983,28.9951,1.0,1.0,1.0
128.8557,41.7788,0.4311377245508982,0.2994011976047904,0.2904191616766467
127.0309,42.4993,0.938622754491018,0.7485029940119761,0.7583832335329341
125.1448,43.1789,0.817065868263473,0.7095808383233533,0.7191616766467066
123.1986,43.8149,0.45149700598802395,0.39850299401197603,0.3853293413173653
121.1941,44.4042,0.39401197604790417,0.2745508982035928,0.26407185628742513
119.1336,44.9442,0.34970059880239523,0.15239520958083833,0.15538922155688623
117.0205,45.432,0.7784431137724551,0.49640718562874253,0.5068862275449102
114.8586,45.8651,0.43832335329341315,0.1664670658682635,0.1688622754491018
112.6526,46.2411,0.6949101796407186,0.3910179640718563,0.3967065868263473
110.4077,46.558,0.36137724550898204,0.1473053892215569,0.15389221556886226
108.1301,46.8138,0.25479041916167666,0.14520958083832336,0.16137724550898203
105.8263,47.0071,0.17904191616766468,0.0562874251497006,0.05718562874251497
103.5035,47.1366,0.34550898203592817,0.21676646706586827,0.23562874251497007
101.1691,47.2016,0.7011976047904191,0.5158682634730539,0.5511976047904191
